[-6.65122593], [0.47510719299316406, 0.592523992061615]
[-16.79262372], [0.5787633657455444, 0.03712194040417671]
[-17.15954316], [0.9506698846817017, 0.8623440265655518]
[-16.3885783], [0.12045787274837494, 0.2614422142505646]
[-6.65139063], [0.47509474658966067, 0.5925702540576457]
[-6.65071576], [0.4751465746760368, 0.5922925530318172]
[-6.64848301], [0.4753325279355049, 0.5927051640748977]
[-6.65334995], [0.4749174219295383, 0.5924047131687403]
[-18.24407864], [0.13450839672645903, 0.964865566191156]
[-18.1005219], [0.12568795488784426, 0.9565811899722361]
[-18.64016914], [0.13070968030210234, 0.973591931126254]
[-16.95249263], [0.14391105365050466, 0.9957786562427164]
[-16.11405914], [0.8681287105679512, 0.2849122501611709]
[-16.31793014], [0.8699512298703194, 0.263636956334114]
[-16.5983813], [0.8644357975125312, 0.21633655053377143]
[-16.81055994], [0.8736434753537179, 0.23250939917564384]
[-16.08457681], [0.4776938091775364, 0.05291119962930679]
[-17.16350388], [0.4763008500930478, 0.982383668422699]
[-16.94033746], [0.47779692992083656, 0.9917923212051392]
[-16.84511419], [0.4735356173325781, 0.9981994032859802]
[-8.09302563], [0.6150564551353455, 0.5630411742018635]
[-10.38489922], [0.6788744330406189, 0.5627343262918404]
[-8.92349213], [0.6311501860618591, 0.5654677453268213]
[-9.27585375], [0.658679187297821, 0.5643829211743858]
[-3.83660814], [0.47588539123535156, 0.4833187899686404]
[-2.76079044], [0.48642125725746155, 0.4879196945417819]
[-3.22700818], [0.459139347076416, 0.49317761825205997]
[-3.03004422], [0.4771333336830139, 0.49605981158310564]
[-2.51153299], [0.482008159160614, 0.5001680606322703]
[-1.92209695], [0.5131047368049622, 0.4972140190146457]
[-10.50981507], [0.43508562445640564, 0.31907268860617294]
[-9.78727162], [0.45106375217437744, 0.31794526108664023]
[-10.06081047], [0.3045903146266937, 0.5899952122933365]
[-10.96516114], [0.31570467352867126, 0.6114623544780927]
[-10.61881432], [0.29997506737709045, 0.6124963971020558]
[-11.3650264], [0.2838767170906067, 0.6047468582097435]
[-3.15248719], [0.4974490227261879, 0.5257442718309369]
[-3.33090681], [0.5083540850925868, 0.5241175143455583]
[-2.65580171], [0.5096377539631146, 0.5147723254760388]
[-2.58385413], [0.5015045195828713, 0.5185295213830092]
[-2.17585557], [0.5139245248203429, 0.5051268468764993]
[-1.57993819], [0.5093953857838839, 0.5058280013148115]
[-0.64338641], [0.5040471842410893, 0.5040388333319606]
[-1.49818407], [0.5103976858310996, 0.502835851390662]
[-5.06279832], [0.5323395067930273, 0.5567488531632124]
[-4.94518886], [0.5239646920384003, 0.5552336073393105]
[-5.48906691], [0.533993253652127, 0.5617773946179256]
[-5.3549913], [0.5313128309066696, 0.5597146305949028]
[-0.20273045], [0.5024514951215022, 0.5002430927113719]
[-0.05551089], [0.49978440310038785, 0.5008187291848969]
[-0.05381146], [0.4991999691390821, 0.49980369222989884]
[-0.12301691], [0.5010821862595214, 0.4987415822814723]
[-0.12366538], [0.50147323360989, 0.5007800515727071]
[-0.14447008], [0.5004584824476288, 0.5018328384313745]
[-0.10767243], [0.498522085986448, 0.49981893552849804]
[-0.04792098], [0.49934057098478385, 0.49965705926937154]
[-0.12684571], [0.5015719905948615, 0.5006517278627295]
[-0.13768125], [0.5005759183507842, 0.5017242571845719]
[-0.09691911], [0.4986751658902365, 0.49967258841905143]
[-0.04603632], [0.4994785847177836, 0.4995076765634427]
[-0.13405123], [0.5017065441727736, 0.5005038899369744]
[-0.12958211], [0.5007120164900273, 0.5015780849613866]
[-0.08961053], [0.4988142114349193, 0.49952322983082637]
[-0.04825092], [0.4996163844395243, 0.4993580618571833]
[-0.03697468], [0.5005884418241724, 0.5000076334930265]
[-0.06567447], [0.49914762743414437, 0.49951548208383895]
[-0.03464462], [0.5000930182590244, 0.5005467260814699]
[-0.04666886], [0.49954722959374387, 0.49943259133456563]
[-0.09455299], [0.5010078313305706, 0.49912197368486705]
[-0.03793142], [0.4997650804840451, 0.5005546034717092]
[-0.03079198], [0.5001610368493349, 0.500470949500403]
[-0.03770882], [0.49958562444226, 0.49956733329626823]
[-0.11286387], [0.49935445225575736, 0.4985936442377945]
[-0.0281114], [0.5002295974818243, 0.5003957720109959]
[-0.03147588], [0.4998304857284265, 0.5004787646117862]
[-0.03854483], [0.49964959959608135, 0.49949929982053776]
[-3.98309601], [0.4759769056872795, 0.5195626423811167]
[-3.95128602], [0.47569435606316357, 0.5186802155500576]
[-4.15456418], [0.4754364840774254, 0.5228658763485771]
[-4.07725552], [0.4752521995765471, 0.5209147407537327]
[-0.02897411], [0.49955678796307446, 0.5001580059867997]
[-0.02715651], [0.5002626989455101, 0.5003568446068211]
[-0.02471518], [0.5000700055188017, 0.5003998187276645]
[-0.00627744], [0.49998267266430946, 0.4998926453423237]
[-0.03429062], [0.5005295613582021, 0.500146298762747]
[-0.03146037], [0.5002854384482277, 0.500419807681]
[-0.01222316], [0.49981959149328137, 0.49989660547734643]
[-0.00850883], [0.5000164978354421, 0.4998545508105732]
[-0.00844064], [0.4999000737627897, 0.49989460003979863]
[-0.65867562], [0.49443615815786957, 0.4982176458951776]
[-0.00730609], [0.4999998047584786, 0.49987384212359637]
[-0.69510051], [0.4943142990935875, 0.49788296404203136]
[-0.00389369], [0.49997022626080606, 0.4999389073383545]
[-0.02043292], [0.5000220543471823, 0.4996612063125258]
[-0.01300448], [0.5002080076066503, 0.5000738173556064]
[-0.01837053], [0.4997929016006837, 0.499773366449449]
[-17.93385925], [0.07053064236696176, 0.8320428625436992]
[-17.44903983], [0.11655212421065822, 0.8626858168563242]
[-17.49475252], [0.07669841340808178, 0.846638555276602]
[-17.3360125], [0.09291257119737599, 0.865675387335667]
[-16.86796908], [0.010688571259379387, 0.5172982472635977]
[-16.71068782], [0.0309139434248209, 0.512240825217133]
[-16.56799519], [0.01390025019645691, 0.5096090504135677]
[-15.4698275], [0.0018310975283384323, 0.505813431460389]
[-16.77939883], [0.5348339187208964, 0.9891995787620544]
[-16.70215716], [0.5379323059828462, 0.9869359135627747]
[-15.41632221], [0.5517016065476713, 0.9945578575134277]
[-15.57426937], [0.5433421066839377, 0.9987190961837769]
[-6.48802224], [0.46274795930263574, 0.5806350708007812]
[-7.73298063], [0.4593215502002333, 0.6173804402351379]
[-5.60148567], [0.4467557462683216, 0.5960657596588135]
[-6.23055078], [0.45311753947310174, 0.5830005407333374]
[-10.03349113], [0.47820739125836476, 0.3288957669821865]
[-15.4615608], [0.9409031889598204, 0.5091276988587075]
[-16.20169185], [0.9239723557137841, 0.5159788302326781]
[-15.1018035], [0.899348016888106, 0.518654602333185]
[-6.41975863], [0.6022093345531618, 0.53729007816475]
[-6.65777162], [0.5895802902629312, 0.5292475139538126]
[-6.51810643], [0.5799302984752055, 0.5352361410626637]
[-6.51817726], [0.5868108213081676, 0.5359038848929409]
[-3.35909197], [0.47518732998859076, 0.5082067267491507]
[-3.64248858], [0.46424693059104566, 0.5097018587260232]
[-3.42799071], [0.4685820890829978, 0.5059700234265017]
[-3.40326763], [0.4727738622778995, 0.5071267315148282]
