2024-01-12 22:16:23,849 - INFO - [44 in node 3] Best value: -1270946.925 | TR length: 0.800 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 22:16:24,212 - INFO - [48 in node 3] Best value: -1051626.133 | TR length: 0.800 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 22:16:24,661 - INFO - [52 in node 3] Best value: -1051626.133 | TR length: 0.800 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:16:25,136 - INFO - [56 in node 3] Best value: -1051626.133 | TR length: 0.800 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 22:16:25,614 - INFO - [60 in node 3] Best value: -1032646.462 | TR length: 0.800 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 22:16:26,100 - INFO - [64 in node 3] Best value: -1032646.462 | TR length: 0.800 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:16:26,537 - INFO - [68 in node 3] Best value: -1032646.462 | TR length: 0.800 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 22:16:26,985 - INFO - [72 in node 3] Best value: -1032646.462 | TR length: 0.800 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 22:16:27,574 - INFO - [76 in node 3] Best value: -1032646.462 | TR length: 0.800 | num. failures: 4/5 | num. successes: 0/10
2024-01-12 22:16:28,044 - INFO - [80 in node 3] Best value: -1032646.462 | TR length: 0.400 | num. failures: 0/5 | num. successes: 0/10
2024-01-12 22:16:28,529 - INFO - [84 in node 3] Best value: -766535.706 | TR length: 0.400 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 22:16:28,963 - INFO - [88 in node 3] Best value: -766535.706 | TR length: 0.400 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:16:29,457 - INFO - [92 in node 3] Best value: -737300.588 | TR length: 0.400 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 22:16:29,915 - INFO - [96 in node 3] Best value: -490022.720 | TR length: 0.400 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 22:16:30,385 - INFO - [100 in node 3] Best value: -437638.452 | TR length: 0.400 | num. failures: 0/5 | num. successes: 3/10
2024-01-12 22:16:30,860 - INFO - [104 in node 3] Best value: -239281.444 | TR length: 0.400 | num. failures: 0/5 | num. successes: 4/10
2024-01-12 22:16:31,306 - INFO - [108 in node 3] Best value: -171540.942 | TR length: 0.400 | num. failures: 0/5 | num. successes: 5/10
2024-01-12 22:16:31,774 - INFO - [112 in node 3] Best value: -160197.007 | TR length: 0.400 | num. failures: 0/5 | num. successes: 6/10
2024-01-12 22:16:32,294 - INFO - [116 in node 3] Best value: -105750.582 | TR length: 0.400 | num. failures: 0/5 | num. successes: 7/10
2024-01-12 22:16:32,822 - INFO - [120 in node 3] Best value: -93494.544 | TR length: 0.400 | num. failures: 0/5 | num. successes: 8/10
2024-01-12 22:16:33,341 - INFO - [124 in node 3] Best value: -93494.544 | TR length: 0.400 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:16:33,871 - INFO - [128 in node 3] Best value: -93494.544 | TR length: 0.400 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 22:16:34,350 - INFO - [132 in node 3] Best value: -81871.949 | TR length: 0.400 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 22:16:34,901 - INFO - [136 in node 3] Best value: -70937.088 | TR length: 0.400 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 22:16:35,501 - INFO - [140 in node 3] Best value: -41683.233 | TR length: 0.400 | num. failures: 0/5 | num. successes: 3/10
2024-01-12 22:16:36,163 - INFO - [144 in node 3] Best value: -24776.103 | TR length: 0.400 | num. failures: 0/5 | num. successes: 4/10
2024-01-12 22:16:36,748 - INFO - [148 in node 3] Best value: -22093.083 | TR length: 0.400 | num. failures: 0/5 | num. successes: 5/10
2024-01-12 22:16:37,306 - INFO - [152 in node 3] Best value: -22093.083 | TR length: 0.400 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:16:37,987 - INFO - [156 in node 3] Best value: -22093.083 | TR length: 0.400 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 22:16:38,595 - INFO - [160 in node 3] Best value: -22093.083 | TR length: 0.400 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 22:16:39,199 - INFO - [164 in node 3] Best value: -22093.083 | TR length: 0.400 | num. failures: 4/5 | num. successes: 0/10
2024-01-12 22:16:39,915 - INFO - [168 in node 3] Best value: -22093.083 | TR length: 0.200 | num. failures: 0/5 | num. successes: 0/10
2024-01-12 22:16:40,826 - INFO - [172 in node 3] Best value: -22093.083 | TR length: 0.200 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:16:41,720 - INFO - [176 in node 3] Best value: -15217.957 | TR length: 0.200 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 22:16:42,431 - INFO - [180 in node 3] Best value: -15217.957 | TR length: 0.200 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:16:43,023 - INFO - [184 in node 3] Best value: -15217.957 | TR length: 0.200 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 22:16:43,562 - INFO - [188 in node 3] Best value: -12781.660 | TR length: 0.200 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 22:16:44,130 - INFO - [192 in node 3] Best value: -10187.050 | TR length: 0.200 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 22:16:44,708 - INFO - [196 in node 3] Best value: -9897.818 | TR length: 0.200 | num. failures: 0/5 | num. successes: 3/10
2024-01-12 22:16:45,349 - INFO - [200 in node 3] Best value: -9897.818 | TR length: 0.200 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:16:45,954 - INFO - [204 in node 3] Best value: -7522.016 | TR length: 0.200 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 22:16:46,547 - INFO - [208 in node 3] Best value: -7522.016 | TR length: 0.200 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:16:47,237 - INFO - [212 in node 3] Best value: -7522.016 | TR length: 0.200 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 22:16:48,020 - INFO - [216 in node 3] Best value: -7522.016 | TR length: 0.200 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 22:16:48,870 - INFO - [220 in node 3] Best value: -6930.242 | TR length: 0.200 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 22:16:49,671 - INFO - [224 in node 3] Best value: -6930.242 | TR length: 0.200 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:16:50,441 - INFO - [228 in node 3] Best value: -6930.242 | TR length: 0.200 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 22:16:51,460 - INFO - [232 in node 3] Best value: -6930.242 | TR length: 0.200 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 22:16:52,293 - INFO - [236 in node 3] Best value: -6930.242 | TR length: 0.200 | num. failures: 4/5 | num. successes: 0/10
2024-01-12 22:16:52,971 - INFO - [240 in node 3] Best value: -6930.242 | TR length: 0.100 | num. failures: 0/5 | num. successes: 0/10
2024-01-12 22:16:53,743 - INFO - [244 in node 3] Best value: -6930.242 | TR length: 0.100 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:16:54,338 - INFO - [248 in node 3] Best value: -5173.056 | TR length: 0.100 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 22:16:55,055 - INFO - [252 in node 3] Best value: -2807.684 | TR length: 0.100 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 22:16:55,898 - INFO - [256 in node 3] Best value: -2311.358 | TR length: 0.100 | num. failures: 0/5 | num. successes: 3/10
2024-01-12 22:16:56,593 - INFO - [260 in node 3] Best value: -2311.358 | TR length: 0.100 | num. failures: 1/5 | num. successes: 0/10
