2024-01-15 23:40:40,714 - INFO - Sample 44 | Best value: -12.40 |
2024-01-15 23:40:40,827 - INFO - Sample 48 | Best value: -12.40 |
2024-01-15 23:40:40,935 - INFO - Sample 52 | Best value: -12.40 |
2024-01-15 23:40:41,060 - INFO - Sample 56 | Best value: -12.40 |
2024-01-15 23:40:41,257 - INFO - Sample 60 | Best value: -12.40 |
2024-01-15 23:40:41,443 - INFO - Sample 64 | Best value: -12.40 |
2024-01-15 23:40:41,706 - INFO - Sample 68 | Best value: -12.40 |
2024-01-15 23:40:41,949 - INFO - Sample 72 | Best value: -12.40 |
2024-01-15 23:40:42,213 - INFO - Sample 76 | Best value: -12.40 |
2024-01-15 23:40:42,436 - INFO - Sample 80 | Best value: -12.40 |
2024-01-15 23:40:42,674 - INFO - Sample 84 | Best value: -12.40 |
2024-01-15 23:40:42,938 - INFO - Sample 88 | Best value: -12.40 |
2024-01-15 23:40:43,185 - INFO - Sample 92 | Best value: -12.40 |
2024-01-15 23:40:43,442 - INFO - Sample 96 | Best value: -12.40 |
2024-01-15 23:40:43,701 - INFO - Sample 100 | Best value: -12.40 |
2024-01-15 23:40:43,968 - INFO - Sample 104 | Best value: -12.40 |
2024-01-15 23:40:44,241 - INFO - Sample 108 | Best value: -12.40 |
2024-01-15 23:40:44,604 - INFO - Sample 112 | Best value: -12.40 |
2024-01-15 23:42:36,998 - INFO - Sample 44 | Best value: -12.40 |
2024-01-15 23:42:37,104 - INFO - Sample 48 | Best value: -12.40 |
2024-01-15 23:42:37,203 - INFO - Sample 52 | Best value: -12.40 |
2024-01-15 23:42:37,329 - INFO - Sample 56 | Best value: -12.40 |
2024-01-15 23:42:37,513 - INFO - Sample 60 | Best value: -12.40 |
2024-01-15 23:42:37,689 - INFO - Sample 64 | Best value: -12.40 |
2024-01-15 23:42:37,942 - INFO - Sample 68 | Best value: -12.40 |
2024-01-15 23:42:38,180 - INFO - Sample 72 | Best value: -12.40 |
2024-01-15 23:42:38,429 - INFO - Sample 76 | Best value: -12.40 |
2024-01-15 23:42:38,646 - INFO - Sample 80 | Best value: -12.40 |
