2024-01-12 18:07:53,320 - INFO - [44 in node 1] Best value: -12.6 | TR length: 0.8 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:07:53,704 - INFO - [48 in node 1] Best value: -12.4 | TR length: 0.8 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 18:07:54,110 - INFO - [52 in node 1] Best value: -12.4 | TR length: 0.8 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:07:54,520 - INFO - [56 in node 1] Best value: -12.4 | TR length: 0.8 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:07:54,993 - INFO - [60 in node 1] Best value: -12.4 | TR length: 0.8 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 18:07:55,407 - INFO - [64 in node 1] Best value: -12.1 | TR length: 0.8 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:07:55,871 - INFO - [68 in node 1] Best value: -12.1 | TR length: 0.8 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:07:56,335 - INFO - [72 in node 1] Best value: -12.1 | TR length: 0.8 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:07:56,892 - INFO - [76 in node 1] Best value: -12.1 | TR length: 0.8 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 18:07:57,343 - INFO - [80 in node 1] Best value: -12.1 | TR length: 0.8 | num. failures: 4/5 | num. successes: 0/10
2024-01-12 18:07:57,846 - INFO - [84 in node 1] Best value: -11.6 | TR length: 0.8 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:07:58,348 - INFO - [88 in node 1] Best value: -11.6 | TR length: 0.8 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:07:58,888 - INFO - [92 in node 1] Best value: -11.1 | TR length: 0.8 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:07:59,341 - INFO - [96 in node 1] Best value: -11.1 | TR length: 0.8 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:07:59,808 - INFO - [100 in node 1] Best value: -11.1 | TR length: 0.8 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:08:29,829 - INFO - [44 in node 1] Best value: -12.558 | TR length: 0.800 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:08:30,214 - INFO - [48 in node 1] Best value: -12.392 | TR length: 0.800 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 18:08:30,654 - INFO - [52 in node 1] Best value: -12.392 | TR length: 0.800 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:08:31,095 - INFO - [56 in node 1] Best value: -12.392 | TR length: 0.800 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:08:31,577 - INFO - [60 in node 1] Best value: -12.392 | TR length: 0.800 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 18:08:31,978 - INFO - [64 in node 1] Best value: -12.131 | TR length: 0.800 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:08:32,456 - INFO - [68 in node 1] Best value: -12.131 | TR length: 0.800 | num. failures: 1/5 | num. successes: 0/10
