[-6.65122593], [0.47510719299316406, 0.592523992061615]
[-16.79262372], [0.5787633657455444, 0.03712194040417671]
[-17.15954316], [0.9506698846817017, 0.8623440265655518]
[-16.3885783], [0.12045787274837494, 0.2614422142505646]
[-6.65139063], [0.47509474658966067, 0.5925702540576457]
[-6.65071576], [0.4751465746760368, 0.5922925530318172]
[-6.64848301], [0.4753325279355049, 0.5927051640748977]
[-6.65334995], [0.4749174219295383, 0.5924047131687403]
[-18.24407825], [0.13450840439935158, 0.9648655657743747]
[-18.10052179], [0.1256879627593093, 0.9565811894571812]
[-18.64016895], [0.13070968806051447, 0.9735919308129887]
[-16.95249187], [0.14391106111171742, 0.9957786561926408]
[-15.90349445], [0.45867085671490104, 0.004660964943468571]
[-15.98411953], [0.4564187737899656, 0.008707968518137932]
[-16.19838811], [0.45740075889784415, 0.0353020541369915]
[-16.5615652], [0.45749873094897187, 0.029938777908682823]
[-8.90129094], [0.6038616895675659, 0.6371547754294815]
[-9.11364795], [0.6101968884468079, 0.643323928351062]
[-10.66134729], [0.6635547280311584, 0.6418840317864399]
[-10.27576205], [0.6282122731208801, 0.640753204240314]
[-10.52684733], [0.4302327965402504, 0.673649418286433]
[-9.22594489], [0.42157425122510783, 0.6440355678487244]
[-15.32023393], [0.7576818442803098, 0.8985568403578528]
[-10.06423864], [0.43148020530990866, 0.6652972862368096]
[-4.23502261], [0.468456502598845, 0.5197021403704611]
[-4.47558308], [0.4546414455501776, 0.5233652849931633]
[-4.50979377], [0.46375326909381703, 0.5253732812258909]
[-4.12191128], [0.46312133401326366, 0.5164967346294604]
[-8.55797105], [0.36920834047139983, 0.46841204184412455]
[-6.66047884], [0.43804880864453405, 0.40520544082450083]
[-8.37955472], [0.3756149943906303, 0.47508988299795313]
[-7.98603364], [0.38331191465500414, 0.4721185783122635]
[-4.20959572], [0.5456711644947654, 0.4439792275062144]
[-3.88869536], [0.4603678837577085, 0.5136090828629981]
[-4.42297666], [0.54170428226162, 0.44423302894967187]
[-3.82892681], [0.4680857072523714, 0.5122959800017096]
[-4.37554662], [0.45605827380076824, 0.4787893358085486]
[-4.52450204], [0.4535304728395518, 0.47555793995226125]
[-4.51905636], [0.4569696492826928, 0.4745650266373047]
[-4.47134676], [0.45984950623095805, 0.47626427720523357]
[-3.40748951], [0.4680556143782268, 0.5055592538423384]
[-3.42726132], [0.46546886926017916, 0.5063475786848823]
[-3.31816548], [0.46482260352746446, 0.50472986934765]
[-3.3104282], [0.46367809707483915, 0.5052365034977344]
[-3.9876975], [0.525424179481143, 0.5184718432141235]
[-3.70001421], [0.5258963516757812, 0.5129604423130717]
[-3.64220832], [0.5277575450053298, 0.5108450899012661]
[-3.96164979], [0.5266211072371411, 0.5170546777323548]
[-3.07495455], [0.4459557891287714, 0.49732761639808803]
[-3.28848737], [0.44401285914505473, 0.49871045805230213]
[-3.2892778], [0.4442158649060616, 0.49779581948593177]
[-3.11713636], [0.4452941414233518, 0.4983215219191416]
[-3.31001771], [0.46467562689273084, 0.49534422040838083]
[-3.1047533], [0.46173376285365014, 0.49702117420321096]
[-3.18829361], [0.4624053854089069, 0.4959848441478977]
[-3.20631861], [0.4633508065696304, 0.49648666137294345]
[-2.67295579], [0.4555760172737486, 0.49903699951891944]
[-2.64877469], [0.45523845240447036, 0.4997304644547237]
[-2.62626076], [0.45448377135166246, 0.4991176131315247]
[-2.63971068], [0.45489513677096216, 0.4992263540012527]
[-2.58528456], [0.45271615197564796, 0.5006320343219148]
[-2.5863603], [0.4516006719299525, 0.500177034423701]
[-2.5801507], [0.45226592439436714, 0.5000810065335269]
[-2.58394633], [0.4518565247845982, 0.5003362161063073]
[-2.58383839], [0.45259440278618956, 0.5005669036966127]
[-2.58305154], [0.452859258014669, 0.5003148044897697]
[-2.58088505], [0.4520889934343935, 0.5000846566773854]
[-2.58002629], [0.4523026221931506, 0.5000458939627899]
[-2.58355735], [0.4526317853812299, 0.5005307802578001]
[-2.58316164], [0.4528971927673964, 0.5002792055220991]
[-2.58063396], [0.45212532237585745, 0.5000495365128319]
[-2.57995484], [0.45233939649777394, 0.5000108544407955]
[-2.58332055], [0.45293443272200484, 0.5002439834204236]
[-2.58310996], [0.4520648587881119, 0.49955833204960315]
[-2.58043456], [0.4521619578245386, 0.5000144941403332]
[-2.57993626], [0.4523761996029386, 0.4999758423392374]
[-2.58317354], [0.45270551986536717, 0.5004604973602935]
[-2.58324634], [0.45210174582984997, 0.49952318155250225]
[-2.58028752], [0.45219881517942456, 0.4999794831519094]
[-2.57997042], [0.45241299145600045, 0.4999408195298804]
[-2.58076879], [0.4526736483268115, 0.5000924340209821]
[-2.58066051], [0.4525408716780145, 0.5002181522734627]
[-2.58003643], [0.45228750095776327, 0.4999776626135371]
[-2.57994676], [0.45239459686384476, 0.4999583322046819]
[-3.64463466], [0.5277450986018264, 0.5108913518972968]
[-3.62929196], [0.5277969266882026, 0.5106136508714683]
[-3.66081001], [0.5279828799476706, 0.5110262619145488]
[-3.62839521], [0.527567773941704, 0.5107258110083914]
[-15.7976182], [0.10329701581998903, 0.8454090463587675]
[-16.84343384], [0.0923169964986979, 0.8383957239048901]
[-15.69182111], [0.09856823006314164, 0.8527965441646103]
[-17.77122104], [0.11500179848127422, 0.871579208462487]
[-15.9676082], [0.08369557559490204, 0.5173762397820914]
[-15.29390626], [0.11085791885852814, 0.5186966981886099]
[-16.28556911], [0.06187913194298744, 0.522246953301189]
[-16.28400371], [0.07736780494451523, 0.5217263128548733]
[-17.10396104], [0.524413807477527, 0.9729400873184204]
[-16.89300498], [0.5299646098724665, 0.9917923212051392]
[-17.14823513], [0.5285095477893013, 0.982383668422699]
[-16.85039587], [0.5258201289052618, 0.9981994032859802]
[-4.52892284], [0.46699514438714745, 0.45137482286892466]
[-11.15157473], [0.6781582155456716, 0.6140582328367007]
[-11.02612391], [0.670368520634458, 0.616102673965713]
[-11.26423086], [0.6907183957000833, 0.6186526498160656]
[-12.86096733], [0.24265366307854963, 0.6200785647600167]
[-8.68981329], [0.34156513860230653, 0.44149513559744097]
[-7.91095797], [0.34388772170864934, 0.4467028371912272]
[-7.7120612], [0.3487599961497944, 0.443760478589247]
[-3.07789242], [0.4789533373620027, 0.49251211186339083]
[-3.66936028], [0.4725829392742097, 0.4885210845747649]
[-3.29698358], [0.4742649002694868, 0.4937315958191114]
[-3.5814465], [0.47036240513609384, 0.49099087381063977]
[-0.82823506], [0.49901980876712704, 0.49316435773732575]
[-2.20138765], [0.5138216705943628, 0.4943343045246182]
[-1.09146648], [0.5044853243257151, 0.49295156919280697]
[-1.36186234], [0.5087744457335868, 0.49544688383247437]
[-6.4940632], [0.5795651587301976, 0.5545558515529018]
[-0.37071375], [0.4974568539980156, 0.5029014193011991]
[-1.1368357], [0.4968781616667659, 0.5080838484579413]
[-0.82461728], [0.49949312515483857, 0.5068694429981209]
[-0.83748739], [0.49964540674106817, 0.5069580233959243]
[-1.59199382], [0.4986684696234554, 0.5113321705920376]
[-2.58656641], [0.4996148381915104, 0.5186748584087844]
[-2.32644203], [0.5011910390164528, 0.5163602801928284]
