2024-01-13 14:14:14,866 - INFO - [44 in node 1] Best value: -142.002 | TR length: 0.800 | num. failures: 0/5 | num. successes: 1/10
2024-01-13 14:14:15,270 - INFO - [48 in node 1] Best value: -142.002 | TR length: 0.800 | num. failures: 1/5 | num. successes: 0/10
2024-01-13 14:14:15,692 - INFO - [52 in node 1] Best value: -116.860 | TR length: 0.800 | num. failures: 0/5 | num. successes: 1/10
2024-01-13 14:14:16,217 - INFO - [56 in node 1] Best value: -90.115 | TR length: 0.800 | num. failures: 0/5 | num. successes: 2/10
2024-01-13 14:14:16,690 - INFO - [60 in node 1] Best value: -90.115 | TR length: 0.800 | num. failures: 1/5 | num. successes: 0/10
2024-01-13 14:14:17,246 - INFO - [64 in node 1] Best value: -90.115 | TR length: 0.800 | num. failures: 2/5 | num. successes: 0/10
2024-01-13 14:14:17,845 - INFO - [68 in node 1] Best value: -90.115 | TR length: 0.800 | num. failures: 3/5 | num. successes: 0/10
2024-01-13 14:14:18,481 - INFO - [72 in node 1] Best value: -90.115 | TR length: 0.800 | num. failures: 4/5 | num. successes: 0/10
2024-01-13 14:14:19,046 - INFO - [76 in node 1] Best value: -90.115 | TR length: 0.400 | num. failures: 0/5 | num. successes: 0/10
2024-01-13 14:14:19,597 - INFO - [80 in node 1] Best value: -90.115 | TR length: 0.400 | num. failures: 1/5 | num. successes: 0/10
2024-01-13 14:14:20,241 - INFO - [84 in node 1] Best value: -82.175 | TR length: 0.400 | num. failures: 0/5 | num. successes: 1/10
2024-01-13 14:14:20,816 - INFO - [88 in node 1] Best value: -82.032 | TR length: 0.400 | num. failures: 0/5 | num. successes: 2/10
2024-01-13 14:14:21,438 - INFO - [92 in node 1] Best value: -82.032 | TR length: 0.400 | num. failures: 1/5 | num. successes: 0/10
2024-01-13 14:14:22,042 - INFO - [96 in node 1] Best value: -72.433 | TR length: 0.400 | num. failures: 0/5 | num. successes: 1/10
2024-01-13 14:14:22,569 - INFO - [100 in node 1] Best value: -59.953 | TR length: 0.400 | num. failures: 0/5 | num. successes: 2/10
2024-01-13 14:14:23,107 - INFO - [104 in node 1] Best value: -59.246 | TR length: 0.400 | num. failures: 0/5 | num. successes: 3/10
2024-01-13 14:14:23,651 - INFO - [108 in node 1] Best value: -59.246 | TR length: 0.400 | num. failures: 1/5 | num. successes: 0/10
2024-01-13 14:14:24,126 - INFO - [112 in node 1] Best value: -56.200 | TR length: 0.400 | num. failures: 0/5 | num. successes: 1/10
2024-01-13 14:14:24,694 - INFO - [116 in node 1] Best value: -45.736 | TR length: 0.400 | num. failures: 0/5 | num. successes: 2/10
