2024-01-12 21:56:51,378 - INFO - [Restart 0] 44) Best value: -1.20e+01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:56:51,846 - INFO - [Restart 0] 48) Best value: -1.19e+01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:56:52,374 - INFO - [Restart 0] 52) Best value: -1.17e+01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 3/10
2024-01-12 21:56:53,042 - INFO - [Restart 0] 56) Best value: -1.07e+01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 4/10
2024-01-12 21:56:53,442 - INFO - [Restart 0] 60) Best value: -1.04e+01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 5/10
2024-01-12 21:56:53,875 - INFO - [Restart 0] 64) Best value: -1.04e+01 | TR length: 8.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:56:54,382 - INFO - [Restart 0] 68) Best value: -9.71e+00 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:56:54,817 - INFO - [Restart 0] 72) Best value: -8.68e+00 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:56:55,449 - INFO - [Restart 0] 76) Best value: -8.68e+00 | TR length: 8.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:56:55,981 - INFO - [Restart 0] 80) Best value: -8.68e+00 | TR length: 8.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:56:56,385 - INFO - [Restart 0] 84) Best value: -8.68e+00 | TR length: 8.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:56:57,346 - INFO - [Restart 0] 88) Best value: -8.68e+00 | TR length: 8.00e-01 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:56:57,996 - INFO - [Restart 0] 92) Best value: -8.68e+00 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:56:58,489 - INFO - [Restart 0] 96) Best value: -8.56e+00 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:56:58,881 - INFO - [Restart 0] 100) Best value: -8.39e+00 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:56:59,352 - INFO - [Restart 0] 104) Best value: -7.02e+00 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 3/10
2024-01-12 21:56:59,787 - INFO - [Restart 0] 108) Best value: -6.59e+00 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 4/10
2024-01-12 21:57:00,253 - INFO - [Restart 0] 112) Best value: -6.59e+00 | TR length: 4.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:57:00,815 - INFO - [Restart 0] 116) Best value: -5.90e+00 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:57:01,266 - INFO - [Restart 0] 120) Best value: -5.90e+00 | TR length: 4.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:57:01,732 - INFO - [Restart 0] 124) Best value: -5.90e+00 | TR length: 4.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:57:02,172 - INFO - [Restart 0] 128) Best value: -5.90e+00 | TR length: 4.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:57:02,583 - INFO - [Restart 0] 132) Best value: -5.90e+00 | TR length: 4.00e-01 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:57:03,005 - INFO - [Restart 0] 136) Best value: -5.76e+00 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:57:03,455 - INFO - [Restart 0] 140) Best value: -5.50e+00 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:57:03,892 - INFO - [Restart 0] 144) Best value: -5.50e+00 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 3/10
2024-01-12 21:57:04,350 - INFO - [Restart 0] 148) Best value: -5.50e+00 | TR length: 4.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:57:04,796 - INFO - [Restart 0] 152) Best value: -5.50e+00 | TR length: 4.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:57:05,221 - INFO - [Restart 0] 156) Best value: -5.50e+00 | TR length: 4.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:57:05,650 - INFO - [Restart 0] 160) Best value: -5.23e+00 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:57:06,053 - INFO - [Restart 0] 164) Best value: -5.23e+00 | TR length: 4.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:57:06,462 - INFO - [Restart 0] 168) Best value: -5.23e+00 | TR length: 4.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:57:06,895 - INFO - [Restart 0] 172) Best value: -5.23e+00 | TR length: 4.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:57:07,388 - INFO - [Restart 0] 176) Best value: -5.23e+00 | TR length: 4.00e-01 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:57:07,908 - INFO - [Restart 0] 180) Best value: -5.23e+00 | TR length: 2.00e-01 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:57:08,333 - INFO - [Restart 0] 184) Best value: -3.96e+00 | TR length: 2.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:57:08,724 - INFO - [Restart 0] 188) Best value: -3.96e+00 | TR length: 2.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:57:09,142 - INFO - [Restart 0] 192) Best value: -3.59e+00 | TR length: 2.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:57:09,603 - INFO - [Restart 0] 196) Best value: -3.59e+00 | TR length: 2.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:57:10,079 - INFO - [Restart 0] 200) Best value: -3.59e+00 | TR length: 2.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:57:10,549 - INFO - [Restart 0] 204) Best value: -3.59e+00 | TR length: 2.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:57:11,048 - INFO - [Restart 0] 208) Best value: -3.59e+00 | TR length: 2.00e-01 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:57:11,592 - INFO - [Restart 0] 212) Best value: -3.59e+00 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:57:12,138 - INFO - [Restart 0] 216) Best value: -3.28e+00 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:57:12,650 - INFO - [Restart 0] 220) Best value: -3.28e+00 | TR length: 1.00e-01 | num. restarts: 1/5 | num. successes: 0/10
