2024-01-12 21:39:51,857 - INFO - [Restart 0] 44) Best value: -6.02e-01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:39:52,197 - INFO - [Restart 0] 48) Best value: -5.15e-01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:39:52,494 - INFO - [Restart 0] 52) Best value: -3.92e-01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 3/10
2024-01-12 21:39:52,780 - INFO - [Restart 0] 56) Best value: -2.90e-01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 4/10
2024-01-12 21:39:53,142 - INFO - [Restart 0] 60) Best value: -2.51e-01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 5/10
2024-01-12 21:39:53,457 - INFO - [Restart 0] 64) Best value: -2.51e-01 | TR length: 8.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:39:53,745 - INFO - [Restart 0] 68) Best value: -2.51e-01 | TR length: 8.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:39:54,043 - INFO - [Restart 0] 72) Best value: -2.16e-01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:39:54,401 - INFO - [Restart 0] 76) Best value: -2.16e-01 | TR length: 8.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:39:54,915 - INFO - [Restart 0] 80) Best value: -2.16e-01 | TR length: 8.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:39:55,320 - INFO - [Restart 0] 84) Best value: -2.11e-01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:39:55,684 - INFO - [Restart 0] 88) Best value: -2.11e-01 | TR length: 8.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:39:56,222 - INFO - [Restart 0] 92) Best value: -2.11e-01 | TR length: 8.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:39:56,655 - INFO - [Restart 0] 96) Best value: -2.11e-01 | TR length: 8.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:39:57,435 - INFO - [Restart 0] 100) Best value: -2.11e-01 | TR length: 8.00e-01 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:39:58,018 - INFO - [Restart 0] 104) Best value: -2.11e-01 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:39:58,848 - INFO - [Restart 0] 108) Best value: -1.44e-01 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:39:59,641 - INFO - [Restart 0] 112) Best value: -1.05e-01 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:40:00,166 - INFO - [Restart 0] 116) Best value: -8.53e-02 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 3/10
2024-01-12 21:40:00,759 - INFO - [Restart 0] 120) Best value: -6.65e-02 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 4/10
2024-01-12 21:40:01,416 - INFO - [Restart 0] 124) Best value: -6.51e-02 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 5/10
2024-01-12 21:40:02,279 - INFO - [Restart 0] 128) Best value: -6.51e-02 | TR length: 4.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:40:03,105 - INFO - [Restart 0] 132) Best value: -6.51e-02 | TR length: 4.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:40:03,793 - INFO - [Restart 0] 136) Best value: -6.51e-02 | TR length: 4.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:40:04,632 - INFO - [Restart 0] 140) Best value: -6.51e-02 | TR length: 4.00e-01 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:40:05,241 - INFO - [Restart 0] 144) Best value: -6.51e-02 | TR length: 2.00e-01 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:40:06,049 - INFO - [Restart 0] 148) Best value: -4.30e-02 | TR length: 2.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:40:07,039 - INFO - [Restart 0] 152) Best value: -3.31e-02 | TR length: 2.00e-01 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:40:07,713 - INFO - [Restart 0] 156) Best value: -2.39e-02 | TR length: 2.00e-01 | num. restarts: 0/5 | num. successes: 3/10
2024-01-12 21:40:08,334 - INFO - [Restart 0] 160) Best value: -2.39e-02 | TR length: 2.00e-01 | num. restarts: 1/5 | num. successes: 0/10
