2024-01-12 22:00:59,797 - INFO - [Restart 0] 44) Best value: -3.88e+05 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 22:01:00,366 - INFO - [Restart 0] 48) Best value: -3.88e+05 | TR length: 8.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 22:01:00,817 - INFO - [Restart 0] 52) Best value: -3.88e+05 | TR length: 8.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 22:01:01,241 - INFO - [Restart 0] 56) Best value: -3.88e+05 | TR length: 8.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 22:01:01,730 - INFO - [Restart 0] 60) Best value: -3.65e+05 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 22:01:02,107 - INFO - [Restart 0] 64) Best value: -3.65e+05 | TR length: 8.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 22:01:02,553 - INFO - [Restart 0] 68) Best value: -1.76e+05 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 22:01:02,957 - INFO - [Restart 0] 72) Best value: -1.68e+05 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 22:01:03,362 - INFO - [Restart 0] 76) Best value: -1.68e+05 | TR length: 8.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 22:01:03,889 - INFO - [Restart 0] 80) Best value: -1.68e+05 | TR length: 8.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 22:01:04,234 - INFO - [Restart 0] 84) Best value: -1.68e+05 | TR length: 8.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 22:01:04,657 - INFO - [Restart 0] 88) Best value: -7.79e+04 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 22:01:05,545 - INFO - [Restart 0] 92) Best value: -7.79e+04 | TR length: 8.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 22:01:06,359 - INFO - [Restart 0] 96) Best value: -7.79e+04 | TR length: 8.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 22:01:07,124 - INFO - [Restart 0] 100) Best value: -7.79e+04 | TR length: 8.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 22:01:07,814 - INFO - [Restart 0] 104) Best value: -7.79e+04 | TR length: 8.00e-01 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 22:01:08,736 - INFO - [Restart 0] 108) Best value: -7.79e+04 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 0/10
