Initialize logger for experiment: gp_ei_ackley20d_1000
Using Ackley 20D
Start experiment: gp_ei_ackley20d_1000
==================================================
Config:
obj_func: Ackley()
bounds: tensor([[-5., -5., -5., -5., -5., -5., -5., -5., -5., -5., -5., -5., -5., -5.,
         -5., -5., -5., -5., -5., -5.],
        [10., 10., 10., 10., 10., 10., 10., 10., 10., 10., 10., 10., 10., 10.,
         10., 10., 10., 10., 10., 10.]], device='cuda:0', dtype=torch.float64)
batch_size: 4
n_init: 40
seed: 0
acqf_func: ts
max_cholesky_size: inf
==================================================
Sample 44 | Best value: -11.22 |
Sample 48 | Best value: -10.62 |
Sample 52 | Best value: -10.05 |
Sample 56 | Best value: -9.28 |
Sample 60 | Best value: -8.49 |
Sample 64 | Best value: -8.49 |
Sample 68 | Best value: -8.49 |
Sample 72 | Best value: -8.49 |
Sample 76 | Best value: -8.12 |
Sample 80 | Best value: -8.12 |
Sample 84 | Best value: -8.12 |
Sample 88 | Best value: -8.12 |
Sample 92 | Best value: -8.12 |
Sample 96 | Best value: -8.12 |
Sample 100 | Best value: -8.12 |
Sample 104 | Best value: -8.12 |
Sample 108 | Best value: -8.12 |
Sample 112 | Best value: -8.12 |
Sample 116 | Best value: -8.12 |
Sample 120 | Best value: -8.12 |
Sample 124 | Best value: -8.12 |
Sample 128 | Best value: -8.12 |
Sample 132 | Best value: -7.07 |
Sample 136 | Best value: -7.07 |
Sample 140 | Best value: -7.07 |
Sample 144 | Best value: -7.07 |
Sample 148 | Best value: -7.07 |
Sample 152 | Best value: -7.07 |
Sample 156 | Best value: -7.07 |
Sample 160 | Best value: -7.07 |
Sample 164 | Best value: -7.07 |
Sample 168 | Best value: -7.07 |
Sample 172 | Best value: -7.07 |
Sample 176 | Best value: -7.07 |
Sample 180 | Best value: -7.07 |
Sample 184 | Best value: -7.07 |
Sample 188 | Best value: -7.07 |
Sample 192 | Best value: -7.07 |
Sample 196 | Best value: -7.07 |
Sample 200 | Best value: -7.07 |
Sample 204 | Best value: -7.07 |
Sample 208 | Best value: -7.07 |
Sample 212 | Best value: -7.07 |
Sample 216 | Best value: -7.07 |
Sample 220 | Best value: -7.07 |
Sample 224 | Best value: -7.07 |
Sample 228 | Best value: -7.07 |
Sample 232 | Best value: -7.07 |
Sample 236 | Best value: -7.07 |
Sample 240 | Best value: -7.07 |
Sample 244 | Best value: -7.07 |
Sample 248 | Best value: -7.07 |
Sample 252 | Best value: -7.07 |
Sample 256 | Best value: -7.07 |
Sample 260 | Best value: -7.07 |
Sample 264 | Best value: -7.07 |
Sample 268 | Best value: -7.07 |
Sample 272 | Best value: -7.07 |
Sample 276 | Best value: -7.07 |
Sample 280 | Best value: -7.07 |
Sample 284 | Best value: -7.07 |
Sample 288 | Best value: -7.07 |
Sample 292 | Best value: -7.07 |
Sample 296 | Best value: -7.07 |
Sample 300 | Best value: -7.07 |
Sample 304 | Best value: -7.07 |
Sample 308 | Best value: -7.07 |
Sample 312 | Best value: -7.07 |
Sample 316 | Best value: -7.07 |
Sample 320 | Best value: -7.07 |
Sample 324 | Best value: -7.07 |
Sample 328 | Best value: -7.07 |
Sample 332 | Best value: -7.07 |
Sample 336 | Best value: -7.07 |
Sample 340 | Best value: -7.07 |
Sample 344 | Best value: -7.07 |
Sample 348 | Best value: -7.07 |
Sample 352 | Best value: -7.07 |
Sample 356 | Best value: -7.07 |
Sample 360 | Best value: -7.07 |
Sample 364 | Best value: -7.07 |
Sample 368 | Best value: -7.07 |
Sample 372 | Best value: -7.07 |
Sample 376 | Best value: -7.07 |
Sample 380 | Best value: -7.07 |
Sample 384 | Best value: -7.07 |
Sample 388 | Best value: -7.07 |
Sample 392 | Best value: -7.07 |
Sample 396 | Best value: -7.07 |
Sample 400 | Best value: -7.07 |
Sample 404 | Best value: -7.07 |
Sample 408 | Best value: -7.07 |
Sample 412 | Best value: -7.07 |
Sample 416 | Best value: -7.07 |
Sample 420 | Best value: -7.07 |
Sample 424 | Best value: -7.07 |
Sample 428 | Best value: -7.07 |
Sample 432 | Best value: -7.07 |
Sample 436 | Best value: -7.07 |
Sample 440 | Best value: -7.07 |
Sample 444 | Best value: -7.07 |
Sample 448 | Best value: -7.07 |
Sample 452 | Best value: -7.07 |
Sample 456 | Best value: -7.07 |
Sample 460 | Best value: -7.07 |
Sample 464 | Best value: -7.07 |
Sample 468 | Best value: -7.07 |
Sample 472 | Best value: -7.07 |
Sample 476 | Best value: -7.07 |
Sample 480 | Best value: -7.07 |
Sample 484 | Best value: -7.07 |
Sample 488 | Best value: -7.07 |
Sample 492 | Best value: -7.07 |
Sample 496 | Best value: -7.07 |
Sample 500 | Best value: -7.07 |
Sample 504 | Best value: -7.07 |
Sample 508 | Best value: -7.07 |
Sample 512 | Best value: -7.07 |
Sample 516 | Best value: -7.07 |
Sample 520 | Best value: -7.07 |
Sample 524 | Best value: -7.07 |
Sample 528 | Best value: -7.07 |
Sample 532 | Best value: -7.07 |
Sample 536 | Best value: -7.07 |
Sample 540 | Best value: -7.07 |
Sample 544 | Best value: -7.07 |
Sample 548 | Best value: -7.07 |
Sample 552 | Best value: -7.07 |
Sample 556 | Best value: -7.07 |
